,Week,HomeTeamId,HomeTotalPoints,AwayTeamId,AwayTotalPoints,Type,Year
0,1,3,91.5,7,87.0,Regular,2023
1,1,6,177.8,1,107.7,Regular,2023
2,1,2,134.3,11,104.8,Regular,2023
3,1,5,92.4,10,140.1,Regular,2023
4,1,9,131.8,12,76.4,Regular,2023
5,2,1,111.0,11,123.2,Regular,2023
6,2,10,109.4,3,107.1,Regular,2023
7,2,12,165.3,7,163.8,Regular,2023
8,2,5,118.6,6,124.2,Regular,2023
9,2,9,160.1,2,129.4,Regular,2023
10,3,10,123.5,12,143.9,Regular,2023
11,3,1,102.3,5,146.1,Regular,2023
12,3,11,141.3,9,149.6,Regular,2023
13,3,3,168.3,6,182.3,Regular,2023
14,3,7,100.9,2,123.6,Regular,2023
15,4,5,102.8,9,147.2,Regular,2023
16,4,6,134.0,10,84.7,Regular,2023
17,4,2,123.9,12,109.1,Regular,2023
18,4,3,135.6,1,126.3,Regular,2023
19,4,7,52.2,11,238.8,Regular,2023
20,5,6,144.9,2,136.3,Regular,2023
21,5,5,100.9,3,120.7,Regular,2023
22,5,9,75.9,7,170.4,Regular,2023
23,5,10,167.3,1,144.8,Regular,2023
24,5,12,139.7,11,179.0,Regular,2023
25,6,7,94.0,1,89.7,Regular,2023
26,6,11,125.5,10,125.0,Regular,2023
27,6,12,107.0,5,82.0,Regular,2023
28,6,9,109.4,6,187.7,Regular,2023
29,6,2,125.1,3,126.2,Regular,2023
30,7,10,122.5,7,83.9,Regular,2023
31,7,5,130.2,11,112.9,Regular,2023
32,7,6,137.5,12,134.0,Regular,2023
33,7,3,145.9,9,110.7,Regular,2023
34,7,1,99.3,2,179.3,Regular,2023
35,8,7,117.8,5,144.8,Regular,2023
36,8,11,151.6,6,145.7,Regular,2023
37,8,12,125.2,3,191.3,Regular,2023
38,8,9,98.7,1,122.6,Regular,2023
39,8,2,147.6,10,123.5,Regular,2023
40,9,6,101.2,7,73.3,Regular,2023
41,9,3,141.8,5,178.5,Regular,2023
42,9,11,101.5,2,112.4,Regular,2023
43,9,1,112.8,10,101.9,Regular,2023
44,9,12,99.1,9,184.9,Regular,2023
45,10,3,133.7,11,146.7,Regular,2023
46,10,1,90.2,6,162.8,Regular,2023
47,10,7,135.9,12,159.8,Regular,2023
48,10,10,144.2,5,103.2,Regular,2023
49,10,2,128.1,9,167.0,Regular,2023
50,11,1,128.4,12,84.9,Regular,2023
51,11,3,104.2,10,110.0,Regular,2023
52,11,9,154.5,11,119.2,Regular,2023
53,11,6,173.5,5,109.4,Regular,2023
54,11,2,133.2,7,108.5,Regular,2023
55,12,10,100.2,9,170.8,Regular,2023
56,12,5,114.0,1,95.4,Regular,2023
57,12,12,158.2,2,95.8,Regular,2023
58,12,6,194.9,3,163.2,Regular,2023
59,12,11,162.7,7,129.2,Regular,2023
60,13,5,103.5,2,138.0,Regular,2023
61,13,10,98.3,6,181.0,Regular,2023
62,13,7,99.4,9,160.8,Regular,2023
63,13,1,162.5,3,145.2,Regular,2023
64,13,11,140.7,12,165.9,Regular,2023
65,14,7,146.1,3,112.8,Regular,2023
66,14,11,92.2,1,121.5,Regular,2023
67,14,12,93.0,10,146.7,Regular,2023
68,14,9,131.7,5,100.5,Regular,2023
69,14,2,119.8,6,113.4,Regular,2023
70,15,6,149.1,N/A,0.0,Playoff,2023
71,15,11,116.3,10,116.1,Playoff,2023
72,15,2,132.0,3,137.0,Playoff,2023
73,15,9,147.8,N/A,0.0,Playoff,2023
74,15,12,96.7,5,174.4,Playoff,2023
75,15,1,128.8,7,130.9,Playoff,2023
76,16,6,135.5,11,146.0,Playoff,2023
77,16,9,96.0,3,114.3,Playoff,2023
78,16,2,143.6,10,111.1,Playoff,2023
79,16,5,179.8,7,105.7,Playoff,2023
80,16,12,127.5,1,108.9,Playoff,2023
81,17,11,127.0,3,109.0,Playoff,2023
82,17,6,182.5,9,75.9,Playoff,2023
83,17,2,152.1,10,114.7,Playoff,2023
84,17,12,170.9,5,105.5,Playoff,2023
85,17,1,148.1,7,121.4,Playoff,2023
0,1,11,106.7,5,153.5,Regular,2022
1,1,10,63.4,2,113.3,Regular,2022
2,1,7,110.3,1,107.9,Regular,2022
3,1,12,151.7,3,190.2,Regular,2022
4,1,6,175.0,9,149.2,Regular,2022
5,2,2,127.3,1,160.0,Regular,2022
6,2,3,112.2,11,124.9,Regular,2022
7,2,9,123.3,5,102.8,Regular,2022
8,2,12,113.2,10,184.4,Regular,2022
9,2,6,164.2,7,135.2,Regular,2022
10,3,3,108.2,9,154.4,Regular,2022
11,3,2,128.9,12,103.3,Regular,2022
12,3,1,140.6,6,125.9,Regular,2022
13,3,11,124.6,10,97.1,Regular,2022
14,3,5,125.8,7,147.9,Regular,2022
15,4,12,181.9,6,140.1,Regular,2022
16,4,10,155.7,3,164.4,Regular,2022
17,4,7,128.6,9,123.1,Regular,2022
18,4,11,105.5,2,172.9,Regular,2022
19,4,5,132.6,1,86.4,Regular,2022
20,5,10,117.4,7,174.2,Regular,2022
21,5,12,164.5,11,133.2,Regular,2022
22,5,6,219.6,5,115.6,Regular,2022
23,5,3,91.5,2,163.6,Regular,2022
24,5,9,136.0,1,123.6,Regular,2022
25,6,5,106.3,2,124.3,Regular,2022
26,6,1,144.9,3,98.6,Regular,2022
27,6,9,91.2,12,115.1,Regular,2022
28,6,6,165.2,10,96.7,Regular,2022
29,6,7,111.8,11,104.1,Regular,2022
30,7,3,151.2,5,82.9,Regular,2022
31,7,12,127.1,1,112.1,Regular,2022
32,7,10,132.1,9,118.0,Regular,2022
33,7,11,103.7,6,142.5,Regular,2022
34,7,2,148.1,7,170.7,Regular,2022
35,8,5,135.2,12,129.5,Regular,2022
36,8,1,148.4,10,165.0,Regular,2022
37,8,9,147.3,11,135.6,Regular,2022
38,8,6,169.6,2,180.5,Regular,2022
39,8,7,113.5,3,150.6,Regular,2022
40,9,10,104.1,5,137.3,Regular,2022
41,9,11,162.7,12,208.7,Regular,2022
42,9,1,81.7,7,92.2,Regular,2022
43,9,2,160.5,3,113.8,Regular,2022
44,9,9,62.9,6,150.6,Regular,2022
45,10,11,182.1,1,130.2,Regular,2022
46,10,2,105.7,10,120.1,Regular,2022
47,10,5,122.7,9,75.2,Regular,2022
48,10,3,138.3,12,149.0,Regular,2022
49,10,7,135.3,6,160.0,Regular,2022
50,11,2,118.0,9,121.6,Regular,2022
51,11,11,125.6,3,171.8,Regular,2022
52,11,6,111.6,1,134.3,Regular,2022
