,Abbr,TeamID,OwnerID_2,displayName,OwnerID,match,Year
6,SETH,1,['{823B7B7A-5AFC-4B2E-A22A-B2D690D236A8}'],Sethicus Millicus,{823B7B7A-5AFC-4B2E-A22A-B2D690D236A8},True,2023
19,HTZY,2,['{C5427153-E4B8-4907-8271-53E4B8090793}'],JeffHeisman93,{C5427153-E4B8-4907-8271-53E4B8090793},True,2023
32,VGTS,3,['{EDC2966B-560E-4F4A-8296-6B560EAF4A80}'],nvogts1,{EDC2966B-560E-4F4A-8296-6B560EAF4A80},True,2023
38,SWAN,5,['{6CF9FBC6-BA1A-4F16-B9FB-C6BA1A3F1659}'],MicahSwank13,{6CF9FBC6-BA1A-4F16-B9FB-C6BA1A3F1659},True,2023
45,DYLN,6,['{0A5C7A99-55FE-48FF-9C7A-9955FEC8FF3B}'],12gdylan,{0A5C7A99-55FE-48FF-9C7A-9955FEC8FF3B},True,2023
58,MS,7,['{51A524D8-FAFA-439E-A524-D8FAFA939EE0}'],kmodd22,{51A524D8-FAFA-439E-A524-D8FAFA939EE0},True,2023
66,Otte,9,"['{DA8634E8-1A57-4C72-8634-E81A575C72D8}', '{03C9941D-EDA5-4EFC-8994-1DEDA56EFCFE}']",xanderotte11,{03C9941D-EDA5-4EFC-8994-1DEDA56EFCFE},True,2023
75,Otte,9,"['{DA8634E8-1A57-4C72-8634-E81A575C72D8}', '{03C9941D-EDA5-4EFC-8994-1DEDA56EFCFE}']",Aotte11,{DA8634E8-1A57-4C72-8634-E81A575C72D8},True,2023
81,ADO,10,['{5D63E7C9-7E73-45C5-AD19-EA232DB5B145}'],ESPNFAN8114445208,{5D63E7C9-7E73-45C5-AD19-EA232DB5B145},True,2023
95,AC,11,['{84A6667B-5663-4540-A666-7B56637540ED}'],aclausing.AC,{84A6667B-5663-4540-A666-7B56637540ED},True,2023
101,BERK,12,['{50E2DA25-1B8F-43E5-9641-B60117AAC2D5}'],jberkley13,{50E2DA25-1B8F-43E5-9641-B60117AAC2D5},True,2023
6,SETH,1,['{823B7B7A-5AFC-4B2E-A22A-B2D690D236A8}'],Sethicus Millicus,{823B7B7A-5AFC-4B2E-A22A-B2D690D236A8},True,2022
19,HTZY,2,['{C5427153-E4B8-4907-8271-53E4B8090793}'],JeffHeisman93,{C5427153-E4B8-4907-8271-53E4B8090793},True,2022
32,VGTS,3,['{EDC2966B-560E-4F4A-8296-6B560EAF4A80}'],nvogts1,{EDC2966B-560E-4F4A-8296-6B560EAF4A80},True,2022
